,tile_name,tile_path,tile_dimensions,NW_coordinates_lonlat_tile,SE_coordinates_lonlat_tile
91,m_3809038_ne_15_060_20181121,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3809038_ne_15_060_20181121.tif,"[11851, 12403, 4]","[-90.31835393417435, 38.504230615291526]","[-90.2440863945097, 38.43326864584899]"
92,m_4010442_se_13_060_20190803,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4010442_se_13_060_20190803.tif,"[10914, 11123, 4]","[-104.81504659639916, 40.31443358163354]","[-104.74743349616209, 40.2480910386658]"
93,m_3909452_sw_15_060_20190719,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3909452_sw_15_060_20190719.tif,"[11548, 11990, 4]","[-94.62997956589729, 39.19160569931189]","[-94.55707533154487, 39.121389234713725]"
94,m_4509836_ne_14_060_20180917,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4509836_ne_14_060_20180917.tif,"[10515, 10785, 4]","[-98.56491455386939, 45.50162814378367]","[-98.49745002130263, 45.43585272692472]"
95,m_3410608_ne_13_060_20180525,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3410608_ne_13_060_20180525.tif,"[11196, 11384, 4]","[-106.06500456308962, 35.00194164311351]","[-105.99754676382493, 34.93559796721364]"
96,m_3809830_sw_14_060_20190710,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3809830_sw_14_060_20190710.tif,"[11486, 11806, 4]","[-98.37900305639621, 38.56606858325911]","[-98.30793282387266, 38.49692486275652]"
97,m_3108920_sw_16_060_20181103,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3108920_sw_16_060_20181103.tif,"[11612, 11854, 4]","[-89.62838876451508, 31.690155478815488]","[-89.55915077019912, 31.62233110085188]"
98,m_4108163_se_17_060_20191012,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4108163_se_17_060_20191012.tif,"[10849, 11051, 4]","[-81.19004744794256, 41.0643847216474]","[-81.12251780946556, 40.99808956162944]"
99,m_3808134_sw_17_060_20180704,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3808134_sw_17_060_20180704.tif,"[11400, 11737, 4]","[-81.87922183302463, 38.440677143257574]","[-81.8083299018621, 38.371820878489196]"
100,m_4407321_sw_18_060_20190801,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4407321_sw_18_060_20190801.tif,"[10921, 11428, 4]","[-73.50422389641282, 44.690150557072364]","[-73.43325226163888, 44.622327834421505]"
