X,Y,FID,site_id,Company,Corp,Site,State,PADD,AD_Mbpd,VDist_Mbpd,CaDis_Mbpd,HyCrk_Mbpd,VRedu_Mbpd,CaRef_Mbpd,Isal_Mbpd,HDS_Mbpd,Cokin_Mbpd,Asph_Mbpd,Source,Period_,Latitude,Longitude,Link_Impor
-93.411128,32.798531,11,111,CALUMET COTTON VALLEY REFINING LLC,"CALUMET SPECIALTY PRODUCTS PARTNERS, L.P.",Cotton Valley,Louisiana,3,14,0,0,0,0,0,0.5,6.5,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,32.798531,-93.411128,0
-97.67768,38.341628,12,115,CHS MCPHERSON REFINERY INC,CHS INC,Mcpherson,Kansas,2,104.4,46,24.5,43,0,24.6,25.4,83.5,30,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,38.341628,-97.67768,1
-108.7681,45.658374,13,116,Cenex Harvest States Coop,CHS INC,Laurel,Montana,4,61.1,32.2,16.5,0,0,12.5,5.3,62,16,19.8,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,45.658374,-108.7681,1
-118.410994,33.911422,14,119,CHEVRON USA INC,CHEVRON CORP,El Segundo,California,5,290.5,169.1,73.8,55,0,49,66.1,243.5,76.7,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,33.911422,-118.410994,1
-122.398665,37.94978,15,120,CHEVRON USA INC,CHEVRON CORP,Richmond,California,5,257.2,123.5,90,103.4,0,71.3,85.9,382.2,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,37.94978,-122.398665,1
-106.395613,31.767512,16,123,WESTERN REFINING COMPANY LP,MARATHON PETROLEUM CORP,El Paso,Texas,3,138,55.7,35,0,0,28,19.8,119.5,0,4,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,31.767512,-106.395613,0
-111.923936,40.824744,17,124,CHEVRON USA INC,CHEVRON CORP,Salt Lake City,Utah,4,57.6,27.5,15.5,0,0,8.5,6.9,49.7,10,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,40.824744,-111.923936,1
-88.489914,30.344744,18,125,CHEVRON USA INC,CHEVRON CORP,Pascagoula,Mississippi,3,375.2,330,88,119,0,101.6,21.5,284.3,104,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,30.344744,-88.489914,1
-95.281964,32.360432,19,147,DELEK REFINING LTD,DELEK GROUP LTD,Tyler,Texas,3,76,28,20.3,0,0,17.5,4.7,77,7.5,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,32.360432,-95.281964,0
-95.206799,29.721442,20,148,PASADENA REFINING SYSTEMS INC,PETROBRAS AMERICA INC,Pasadena,Texas,3,115.7,38,52,0,0,23,12.5,79,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,29.721442,-95.206799,1
-111.910603,40.867508,21,150,Silver Eagle Refining,SILVER EAGLE REFINING INC,Woods Cross,Utah,4,15.7,7,0,0,0,0,0,4,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,40.867508,-111.910603,1
-98.459995,29.347637,22,153,CALUMET SAN ANTONIO REFINING LLC,"CALUMET SPECIALTY PRODUCTS PARTNERS, L.P.",San Antonio,Texas,3,21,0,0,0,0,6,0,14,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,29.347637,-98.459995,1
-90.907845,32.385998,23,159,ERGON REFINING INC,ERGON INC,Vicksburg,Mississippi,3,27.3,18,0,0,0,0,0,23,0,10,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,32.385998,-90.907845,1
-91.169797,30.486272,24,161,EXXONMOBIL REFINING & SUPPLY CO,EXXON MOBIL CORP,Baton Rouge,Louisiana,3,523.2,246.1,244.5,27,0,80,41,526.5,123.5,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,30.486272,-91.169797,1
-108.434778,45.814531,25,162,EXXONMOBIL REFINING & SUPPLY CO,EXXON MOBIL CORP,Billings,Montana,4,62.9,32.3,23.7,6.2,0,12.5,5.1,60.9,10,14.5,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,45.814531,-108.434778,1
-94.976798,29.761431,26,163,EXXONMOBIL REFINING & SUPPLY CO,EXXON MOBIL CORP,Baytown,Texas,3,584,297,228,29.9,0,127.5,41,794,96,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,29.761431,-94.976798,1
-122.138319,38.072007,27,164,VALERO REFINING CO CALIFORNIA,VALERO ENERGY CORP,Benicia,California,5,149,85.5,75.3,34,0,37.2,21.3,169.3,29.5,9,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,38.072007,-122.138319,1
-95.605823,37.049525,28,168,COFFEYVILLE RESOURCES RFG & MKTG,CVR ENERGY,Coffeyville,Kansas,2,136,46,36,0,0,26,10,124,25,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,37.049525,-95.605823,1
-111.920665,40.838556,29,176,BIG WEST OIL CO,FJ MANAGEMENT INC,North Salt Lake,Utah,4,33,0,12.5,0,0,8.5,8,22.5,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,40.838556,-111.920665,0
