,tile_name,tile_path,tile_heights,tile_widths,tile_bands,min_utmx,min_utmy,max_utmx,max_utmy,utm_projection,min_lon_tile,min_lat_tile,max_lon_tile,max_lat_tile
64,m_3310363_se_13_060_20180509,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3310363_se_13_060_20180509.tif,12240,10440,4,669054.3,3659933.7,675317.7000000001,3652590.3000000003,EPSG:26913,-103.18910060882112,33.06484608626193,-103.12344231863479,32.99764973801273
65,m_4609801_se_14_060_20180910,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4609801_se_14_060_20180910.tif,12100,8450,4,504606.3,5198381.7,509675.7,5191122.3,EPSG:26914,-98.9394800793641,46.938950371467286,-98.87303018158069,46.873569251955416
66,m_3808007_se_17_060_20180708,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3808007_se_17_060_20180708.tif,12644,10140,4,570117.9,4310504.7,576201.3,4302918.9,EPSG:26917,-80.19092824921145,38.94067746986161,-80.121583685213,38.871818447074666
67,m_3409710_nw_14_060_20190628,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3409710_nw_14_060_20190628.tif,12571,10733,4,602516.7000000001,3860124.3000000003,608955.9,3852582.3000000003,EPSG:26914,-97.87823267682778,34.87832931418278,-97.80876647023584,34.80966231698382
68,m_4208348_sw_17_060_20180706,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4208348_sw_17_060_20180706.tif,12873,9944,4,324399.89999999997,4687015.5,330365.69999999995,4679292.3,EPSG:26917,-83.13083741818748,42.31558942789961,-83.05622851552296,42.247399588071076
69,m_3108737_se_16_060_20191110,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3108737_se_16_060_20191110.tif,12250,10620,4,458196.3,3478373.7,464567.7,3471024.3000000003,EPSG:26916,-87.43991836730055,31.439308311811267,-87.3726085944932,31.37321129920696
70,m_2909038_ne_15_060_20190707,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_2909038_ne_15_060_20190707.tif,12690,11292,4,760291.5,3266834.7,767066.1,3259221.3000000003,EPSG:26915,-90.31497882655874,29.504027641943093,-90.2470180967729,29.433964909012097
71,m_4107301_sw_18_060_20190830,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4107301_sw_18_060_20190830.tif,12340,9450,4,582696.3,4643585.7,588365.7000000001,4636182.3,EPSG:26918,-74.00240840114563,41.93990979259552,-73.93513626625786,41.87262574503535
72,m_4207342_se_18_060_20190805,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4207342_se_18_060_20190805.tif,12360,9430,4,597660.3,4685429.7,603317.7000000001,4678014.3,EPSG:26918,-73.81492441206416,42.31498603331083,-73.74761237378584,42.24748732745992
73,m_3409857_sw_14_060_20181028,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3409857_sw_14_060_20181028.tif,12070,10130,4,499848.3,3769241.7,505925.7,3762000.3000000003,EPSG:26914,-99.00164393442179,34.063905223060175,-98.93583389302275,33.99857922320457
74,m_4209761_se_14_060_20180709,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4209761_se_14_060_20180709.tif,12240,9350,4,629124.3,4658147.7,634733.7000000001,4650804.3,EPSG:26914,-97.43929561653594,42.064785375708674,-97.37320870817359,41.997731021349125
75,m_2609763_nw_14_060_20181214,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_2609763_nw_14_060_20181214.tif,12190,11090,4,674814.3,2890943.7,681467.7000000001,2883630.3000000003,EPSG:26914,-97.25149374963009,26.12718429998293,-97.18599066255769,26.060356838745765
76,m_2608063_ne_17_060_20191120,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_2608063_ne_17_060_20191120.tif,12270,11160,4,581028.3,2890019.7,587723.7000000001,2882658.3000000003,EPSG:26917,-80.1894878300813,26.127170649277378,-80.12301664751817,26.060314758682786
77,m_3408564_se_16_060_20190909,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3408564_se_16_060_20190909.tif,12400,10510,4,678606.3,3771089.7,684911.7000000001,3763650.3000000003,EPSG:26916,-85.06459468660377,34.06532939514563,-84.9978807084309,33.997180756186616
78,m_3907513_se_18_060_20180827,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3907513_se_18_060_20180827.tif,12694,9902,4,462262.5,4407393.3,468203.1,4399777.5,EPSG:26918,-75.44091574693364,39.81568445825151,-75.37113992017258,39.747309441451684
